,entry_ts,exit_ts,direction,entry_price,exit_price,sl_price,tp_price,lot_size,pnl_pips,pnl_usd,exit_reason,ml_prob,equity_after
0,2022-04-08 07:30:00+00:00,2022-04-08 15:15:00+00:00,-1,1.30624,1.302032794989607,1.3079090683367978,1.302032794989607,0.01,42.1,4.21,TP,0.4763228287846011,104.21
1,2022-05-09 00:15:00+00:00,2022-05-09 15:00:00+00:00,-1,1.2335800000000001,1.2380203002833041,1.2380203002833041,1.2206354975095894,0.01,-44.4,-4.44,SL,0.5258208582735581,99.77
2,2022-06-22 03:15:00+00:00,2022-06-22 10:15:00+00:00,-1,1.2259,1.2179750682927155,1.2288083105690948,1.2179750682927155,0.01,79.2,7.92,TP,0.49195420218179126,107.69
3,2022-06-28 14:00:00+00:00,2022-06-30 14:30:00+00:00,-1,1.22448,1.2097976539781197,1.2296407820072934,1.2097976539781197,0.01,146.8,14.68,TP,0.5499039509078768,122.37
4,2022-07-08 07:30:00+00:00,2022-07-08 10:30:00+00:00,-1,1.2011,1.1928498585249743,1.2041167138250086,1.1928498585249743,0.01,82.5,8.25,TP,0.600096315932889,130.62
5,2022-07-14 15:00:00+00:00,2022-07-18 02:30:00+00:00,-1,1.1829,1.1887734585976182,1.1887734585976182,1.1660796242071456,0.01,-58.7,-5.87,SL,0.5047285036135939,124.75
6,2022-08-22 17:00:00+00:00,2022-08-23 16:45:00+00:00,-1,1.17871,1.1831912539819631,1.1831912539819631,1.1660662380541102,0.01,-44.8,-4.48,SL,0.4737458398443062,120.27
7,2022-08-31 11:00:00+00:00,2022-09-01 17:00:00+00:00,-1,1.16474,1.1528165563868946,1.1689811478710352,1.1528165563868946,0.01,119.2,11.92,TP,0.522442124134387,132.19
8,2022-09-08 02:45:00+00:00,2022-09-08 03:45:00+00:00,-1,1.152,1.1501747345800966,1.152875088473301,1.1501747345800966,0.01,18.3,1.83,TP,0.5421137333551088,134.02
9,2022-09-14 08:30:00+00:00,2022-09-15 15:15:00+00:00,1,1.15181,1.1479296257422567,1.1479296257422567,1.1626511227732301,0.01,-38.8,-3.88,SL,0.47855069031024816,130.14
