ts_logged,symbol,direction,entry_price,sl_price,tp_price,lot_size,exit_price,exit_reason,pnl_usd,equity_after,ml_probability,rule_reason
2026-04-07 16:00:14,USDJPY,SHORT,159.891,159.91671320575713,159.8575735884857,0.05,,OPEN,,,0.4677,BearSweep+BOS+PB
2026-04-07 16:15:15,USDJPY,SHORT,159.897,,,,159.864,TP,1.65,101.65,0.4677,
2026-04-07 16:30:02,USDJPY,SHORT,159.897,,,,159.844,TP,2.65,104.3,0.4677,
2026-04-07 16:45:03,USDJPY,SHORT,159.897,,,,159.837,TP,3.0,107.3,0.4677,
2026-04-07 17:00:05,USDJPY,SHORT,159.897,,,,159.917,SL,-1.0,106.3,0.4677,
