,entry_ts,exit_ts,direction,entry_price,exit_price,sl_price,tp_price,lot_size,pnl_pips,pnl_usd,exit_reason,ml_prob,equity_after
0,2024-11-27 09:10:00+00:00,2024-11-27 09:15:00+00:00,1,1.04861,1.0483957027350823,1.0483957027350823,1.0485885945298352,4.67,-2.1,-100.08,SL,0.5183677673339844,9899.92
1,2024-11-27 13:30:00+00:00,2024-11-27 13:35:00+00:00,-1,1.0513899999999998,1.0516513438258768,1.0516513438258768,1.0513173123482462,3.79,-2.6,-99.05,SL,0.4881272315979004,9800.87
2,2024-11-27 13:45:00+00:00,2024-11-27 13:50:00+00:00,1,1.05197,1.052047173750329,1.0517064131248355,1.052047173750329,3.72,0.8,28.71,TP,0.5183677673339844,9829.58
3,2024-11-27 20:30:00+00:00,2024-11-27 20:35:00+00:00,-1,1.05731,1.0572382693514706,1.0575708653242648,1.0572382693514706,3.77,0.7,27.04,TP,0.5163719058036804,9856.62
4,2024-11-28 02:15:00+00:00,2024-11-28 02:20:00+00:00,-1,1.05561,1.055794762139701,1.055794762139701,1.055690475720598,5.33,-1.8,-98.48,SL,0.5,9758.15
5,2024-11-28 09:20:00+00:00,2024-11-28 09:25:00+00:00,1,1.05515,1.0549337411974888,1.0549337411974888,1.0551325176050221,4.51,-2.2,-97.53,SL,0.4810083210468292,9660.61
6,2024-11-29 03:50:00+00:00,2024-11-29 03:55:00+00:00,-1,1.05585,1.0558332309456917,1.0560833845271542,1.0558332309456917,4.14,0.2,6.94,TP,0.4810083210468292,9667.56
7,2024-11-29 11:45:00+00:00,2024-11-29 11:50:00+00:00,-1,1.05595,1.0562198293481222,1.0562198293481222,1.0558603413037557,3.58,-2.7,-96.6,SL,0.4810083210468292,9570.96
8,2024-11-29 14:30:00+00:00,2024-11-29 14:35:00+00:00,-1,1.0552599999999999,1.0555157834505309,1.0555157834505309,1.0551984330989381,3.74,-2.6,-95.66,SL,0.502389669418335,9475.29
9,2024-11-29 18:45:00+00:00,2024-11-29 18:50:00+00:00,-1,1.0545,1.0543641342204442,1.054792932889778,1.0543641342204442,3.23,1.4,43.88,TP,0.5163719058036804,9519.18
10,2024-11-29 21:40:00+00:00,2024-11-29 21:50:00+00:00,1,1.05799,1.0579638017215485,1.0577780991392256,1.0579638017215485,4.49,-0.3,-11.76,TP,0.5163719058036804,9507.42
11,2024-12-02 08:40:00+00:00,2024-12-02 08:45:00+00:00,1,1.0533100000000002,1.0530919389735964,1.0530919389735964,1.0532961220528074,4.36,-2.2,-95.07,SL,0.5,9412.34
12,2024-12-02 11:20:00+00:00,2024-12-02 11:25:00+00:00,1,1.05125,1.0513775831187613,1.0509612084406192,1.0513775831187613,3.2600000000000002,1.3,41.59,TP,0.502389669418335,9453.93
13,2024-12-02 13:35:00+00:00,2024-12-02 13:40:00+00:00,1,1.0527600000000001,1.0525057260429997,1.0525057260429997,1.0528185479140006,3.72,-2.5,-94.59,SL,0.4810083210468292,9359.34
14,2024-12-02 14:40:00+00:00,2024-12-02 14:45:00+00:00,-1,1.05131,1.051585973564413,1.051585973564413,1.051208052871174,3.39,-2.8,-93.56,SL,0.502389669418335,9265.79
15,2024-12-03 02:30:00+00:00,2024-12-03 02:35:00+00:00,-1,1.04907,1.0492678832673237,1.0492678832673237,1.0491242334653528,4.68,-2.0,-92.61,SL,0.5057848691940308,9173.18
16,2024-12-03 05:40:00+00:00,2024-12-03 05:50:00+00:00,1,1.0493800000000002,1.0491678577893853,1.0491678577893853,1.0493542844212298,4.32,-2.1,-91.65,SL,0.5183677673339844,9081.53
17,2024-12-03 06:25:00+00:00,2024-12-03 06:30:00+00:00,-1,1.04857,1.0486151826855947,1.0487724086572028,1.0486151826855947,4.49,-0.5,-20.29,TP,0.5183677673339844,9061.25
18,2024-12-03 08:10:00+00:00,2024-12-03 08:15:00+00:00,1,1.04898,1.048944333675401,1.0487728331622994,1.048944333675401,4.37,-0.4,-15.59,TP,0.5057848691940308,9045.66
19,2024-12-03 16:00:00+00:00,2024-12-03 16:05:00+00:00,1,1.0521900000000002,1.0519543425287028,1.0519543425287028,1.0522113149425947,3.84,-2.4,-90.49,SL,0.5163719058036804,8955.17
20,2024-12-04 02:50:00+00:00,2024-12-04 02:55:00+00:00,-1,1.0499299999999998,1.0499886782678192,1.0501256608660903,1.0499886782678192,4.58,-0.6,-26.87,TP,0.5183677673339844,8928.29
21,2024-12-04 10:00:00+00:00,2024-12-04 10:05:00+00:00,-1,1.05113,1.0513712588089659,1.0513712588089659,1.0510974823820682,3.7,-2.4,-89.27,SL,0.4810083210468292,8839.03
22,2024-12-04 10:50:00+00:00,2024-12-04 10:55:00+00:00,-1,1.04927,1.0495170414147057,1.0495170414147057,1.0492259171705887,3.58,-2.5,-88.44,SL,0.502389669418335,8750.59
23,2024-12-04 13:45:00+00:00,2024-12-04 13:50:00+00:00,1,1.05068,1.0504320574587422,1.0504320574587422,1.0507258850825154,3.5300000000000002,-2.5,-87.52,SL,0.4810083210468292,8663.06
24,2024-12-06 17:20:00+00:00,2024-12-06 17:25:00+00:00,-1,1.05574,1.056083495563347,1.056083495563347,1.0555030088733062,2.52,-3.4,-86.56,SL,0.5183677673339844,8576.5
25,2024-12-06 22:45:00+00:00,2024-12-06 22:50:00+00:00,1,1.0563,1.0562899347388448,1.0560800326305775,1.0562899347388448,3.9,-0.1,-3.93,TP,0.4881272315979004,8572.58
26,2024-12-06 23:45:00+00:00,2024-12-06 23:50:00+00:00,1,1.05682,1.056622838921375,1.056622838921375,1.05676432215725,4.3500000000000005,-2.0,-85.77,SL,0.4881272315979004,8486.81
27,2024-12-09 18:55:00+00:00,2024-12-09 19:00:00+00:00,-1,1.0568799999999998,1.057126342048918,1.057126342048918,1.0568373159021636,3.45,-2.5,-84.99,SL,0.5163719058036804,8401.82
28,2024-12-09 19:45:00+00:00,2024-12-09 19:55:00+00:00,-1,1.05697,1.0569597499619368,1.0572001250190317,1.0569597499619368,3.65,0.1,3.74,TP,0.5163719058036804,8405.57
29,2024-12-10 04:15:00+00:00,2024-12-10 04:20:00+00:00,1,1.0559100000000001,1.0557024146387752,1.0557024146387752,1.0558751707224496,4.05,-2.1,-84.07,SL,0.5,8321.49
30,2024-12-10 10:05:00+00:00,2024-12-10 10:10:00+00:00,-1,1.0547099999999998,1.054704975937801,1.0549375120310993,1.054704975937801,3.66,0.1,1.84,TP,0.4810083210468292,8323.33
31,2024-12-11 14:20:00+00:00,2024-12-11 14:25:00+00:00,1,1.0515700000000001,1.0513236047103818,1.0513236047103818,1.0516127905792365,3.38,-2.5,-83.28,SL,0.5183677673339844,8240.05
